,Date,Price,Predicted with ARIMA,Predicted with Neural Nets
0,2017-08-16,4278.92,,
1,2017-08-17,4105.37,,
2,2017-08-18,4150.45,,
3,2017-08-19,4066.6,,
4,2017-08-20,4005.1,,
5,2017-08-21,4089.7,,
6,2017-08-22,4141.09,,
7,2017-08-23,4318.35,4321.92,4345.26
8,2017-08-24,4364.41,4368.25,4440.4
9,2017-08-25,4352.3,4356.23,4408.67
10,2017-08-26,4345.75,4349.69,4380.39
11,2017-08-27,4390.31,4394.2,4422.22
12,2017-08-28,4597.31,4601.04,4638.8
13,2017-08-29,4583.02,4587.37,4639.24
