,Date,Price
200,2011-02-02,0.716
201,2011-02-03,0.69
202,2011-02-04,0.8109999999999999
203,2011-02-05,0.92
204,2011-02-06,0.8997
205,2011-02-07,0.89
206,2011-02-08,0.9179999999999999
207,2011-02-09,1.09
208,2011-02-10,0.9803
209,2011-02-11,1.07
210,2011-02-12,1.08
211,2011-02-13,1.05
212,2011-02-14,1.07
213,2011-02-15,1.05
214,2011-02-16,1.05
215,2011-02-17,1.04
216,2011-02-18,0.8989
217,2011-02-19,0.9490000000000001
218,2011-02-20,0.85
219,2011-02-21,0.8345
220,2011-02-22,0.8702
221,2011-02-23,0.9
222,2011-02-24,0.9974
223,2011-02-25,0.9111
224,2011-02-26,0.958
225,2011-02-27,0.89
226,2011-02-28,0.86
227,2011-03-01,0.9202
228,2011-03-02,0.9399
229,2011-03-03,0.9391
230,2011-03-04,0.9009999999999999
231,2011-03-05,0.9103
232,2011-03-06,0.8999
233,2011-03-07,0.885
234,2011-03-08,0.87
235,2011-03-09,0.8645
236,2011-03-10,0.9329
237,2011-03-11,0.88
238,2011-03-12,0.9179999999999999
239,2011-03-13,0.8925
240,2011-03-14,0.8949
241,2011-03-15,0.87
242,2011-03-16,0.86
243,2011-03-17,0.8254
244,2011-03-18,0.8165
245,2011-03-19,0.765
246,2011-03-20,0.7411
247,2011-03-21,0.759
248,2011-03-22,0.809
249,2011-03-23,0.8497
250,2011-03-24,0.8669
251,2011-03-25,0.8838
252,2011-03-26,0.8552
253,2011-03-27,0.82
254,2011-03-27,0.799
255,2011-03-28,0.7925
256,2011-03-29,0.7897
257,2011-03-30,0.7846
258,2011-03-31,0.7741
259,2011-04-01,0.782
260,2011-04-02,0.779
261,2011-04-03,0.68
262,2011-04-04,0.71
263,2011-04-05,0.74
264,2011-04-06,0.7538
265,2011-04-07,0.75
266,2011-04-08,0.73
267,2011-04-09,0.7369
268,2011-04-10,0.77
269,2011-04-11,0.86
270,2011-04-12,0.9225
271,2011-04-13,1.0
272,2011-04-14,0.9899
273,2011-04-15,1.05
274,2011-04-16,1.11
275,2011-04-17,1.16
276,2011-04-18,1.2
277,2011-04-19,1.14
278,2011-04-20,1.21
279,2011-04-21,1.41
280,2011-04-22,1.7
281,2011-04-23,1.63
282,2011-04-24,1.56
283,2011-04-25,1.79
284,2011-04-26,1.9
285,2011-04-27,2.21
286,2011-04-28,2.88
287,2011-04-29,3.5
288,2011-04-30,3.03
289,2011-05-01,3.2
290,2011-05-02,3.41
291,2011-05-03,3.41
292,2011-05-04,3.33
293,2011-05-05,3.45
294,2011-05-06,3.64
295,2011-05-07,3.87
296,2011-05-08,3.8
297,2011-05-09,5.81
298,2011-05-10,5.5
299,2011-05-11,6.3
300,2011-05-12,8.2
301,2011-05-13,7.2
302,2011-05-14,6.99
